"location","humidity","temperature","pressure"
"Novinki,RU","87","295.798","1027.42"
"Mar’ina Roshcha,RU","87","295.798","1027.42"
"Laspi,UA","64","278.448","852.33"
"Vinogradovo,RU","63","289.398","845.12"
"Qarah Gawl al ‘Ulyā,IQ","93","292.15","1019"
"Cherkizovo,RU","63","289.398","845.12"
"Alupka,UA","36","312.048","1015.26"
"Zavety Il’icha,RU","87","295.798","1027.42"
"‘Azriqam,IL","93","292.15","1019"
"Tyuzler,UA","63","289.398","845.12"
"Zaponor’ye,RU","63","289.398","845.12"
"Gumist’a,GE","82","275.898","834.25"
"Dzhaga,RU","63","289.398","845.12"
"Tret’ya Rota,RU","63","289.398","845.12"
"Vavibet,RU","87","295.798","1027.42"
"Rīgas Rajons,LV","81","304.898","1019.15"
"Verkhneye Shchekotikhino,RU","63","289.398","845.12"
"Republic of Poland,PL","81","304.898","1019.15"
